,log2FoldChange,pvalue,padj
Dapma7bEVm000342,0.037815615,0.87169726,0.998544574
Dapma7bEVm000343,0.129377126,0.76231586,0.998544574
Dapma7bEVm000344,-0.061860484,0.699100725,0.998544574
Dapma7bEVm000345,-0.176490829,0.452556853,0.997835001
Dapma7bEVm000346,-0.241683369,0.231397239,0.997835001
Dapma7bEVm000347,-0.376873253,0.180233982,0.97051883
Dapma7bEVm000348,-0.387864331,0.045269011,0.742595456
Dapma7bEVm000349,-0.248370369,0.058537629,0.806299552
Dapma7bEVm000350,-0.152176365,0.540305231,0.997835001
Dapma7bEVm000351,-0.054068096,0.89770368,0.998544574
Dapma7bEVm000352,0.201510648,0.523507614,0.997835001
Dapma7bEVm000353,0.136104693,0.468400618,0.997835001
Dapma7bEVm000354,-0.292297447,0.504895095,0.997835001
Dapma7bEVm000355,0.075733088,0.870711585,0.998544574
Dapma7bEVm000356,-0.106387985,0.561972438,0.997835001
Dapma7bEVm000357,0.166158607,0.332999744,0.997835001
Dapma7bEVm000358,-0.493323378,0.042113946,0.731325246
Dapma7bEVm000359,-0.253908751,0.081449518,0.861592708
Dapma7bEVm000360,-0.192364916,0.586456944,0.997835001
Dapma7bEVm000361,-0.477892201,0.182572591,0.970982937
Dapma7bEVm000362,-0.23239469,0.8985364,0.998544574
Dapma7bEVm000363,-0.196572109,0.505514032,0.997835001
Dapma7bEVm000364,-0.06361243,0.782388238,0.998544574
Dapma7bEVm000365,-0.176689561,0.235049959,0.997835001
Dapma7bEVm000366,0.250414204,0.724264347,0.998544574
Dapma7bEVm000367,-0.386173485,0.371903041,0.997835001
Dapma7bEVm000368,0.031068077,0.875770768,0.998544574
Dapma7bEVm000369,-0.727456895,0.622171064,0.997835001
Dapma7bEVm000370,0.077411948,0.728772432,0.998544574
Dapma7bEVm000371,0.156978632,0.147771797,0.945435905
Dapma7bEVm000372,-0.233330251,0.34165475,0.997835001
Dapma7bEVm000373,-0.215132369,0.292072636,0.997835001
Dapma7bEVm000374,0.07326522,0.77735419,0.998544574
Dapma7bEVm000375,-0.485669437,0.055154465,0.790514405
Dapma7bEVm000376,-0.144333216,0.737488641,0.998544574
Dapma7bEVm000377,0.113212243,0.544752084,0.997835001
Dapma7bEVm000378,0.01160239,0.938196592,0.998544574
Dapma7bEVm000379,0.33664663,0.111729463,0.914141657
Dapma7bEVm000380,-0.205821084,0.275689244,0.997835001
Dapma7bEVm000381,0.08109292,0.832926286,0.998544574
Dapma7bEVm000382,-0.347564995,0.093151011,0.879043634
Dapma7bEVm000383,0.198603571,0.307870523,0.997835001
Dapma7bEVm000384,-0.060706236,0.777922858,0.998544574
Dapma7bEVm000385,-0.272927346,0.516063713,0.997835001
Dapma7bEVm000386,-0.215466368,0.30114293,0.997835001
Dapma7bEVm000387,-0.048607578,0.910121514,0.998544574
Dapma7bEVm000388,-0.322772915,0.588629745,0.997835001
Dapma7bEVm000389,-0.055324747,0.610777236,0.997835001
Dapma7bEVm000390,-0.319997239,0.664579719,0.998387735
Dapma7bEVm000391,0.246940744,0.164677406,0.956380318
Dapma7bEVm000392,-0.093764966,0.766483723,0.998544574
Dapma7bEVm000393,-0.78540558,0.435941079,0.997835001
