,log2FoldChange,pvalue,padj
Dapma7bEVm000414,-0.289398028,0.41227822,0.82845045
Dapma7bEVm000415,-0.233840111,0.16307403,0.610776905
Dapma7bEVm000416,-0.263836309,0.686408269,NA
Dapma7bEVm000417,-0.258250251,0.826089692,0.965772028
Dapma7bEVm000418,0.213022233,0.108946343,0.526572862
Dapma7bEVm000419,-0.638978381,0.323132774,NA
Dapma7bEVm000420,-0.862888121,0.000739151,0.020623525
Dapma7bEVm000421,0.561987005,1.14E-05,0.000633879
Dapma7bEVm000422,-0.51168429,0.04065226,0.317095078
Dapma7bEVm000423,-1.084593131,0.169638247,NA
Dapma7bEVm000424,-0.927274882,0.061983518,NA
Dapma7bEVm000425,-0.083082999,0.755166206,0.952312776
Dapma7bEVm000426,-0.558042511,0.144192604,0.586227207
Dapma7bEVm000427,0.087783465,0.675479265,0.933321732
Dapma7bEVm000428,0.01001746,0.963701546,0.995100704
Dapma7bEVm000429,0.245229892,0.256294533,0.712533968
Dapma7bEVm000430,-0.425366465,0.248127547,0.704968388
Dapma7bEVm000431,-1.684973056,0.000931027,0.024378581
Dapma7bEVm000432,0.101560011,0.909265291,0.983907957
Dapma7bEVm000433,0.653541054,0.000452728,0.013858685
Dapma7bEVm000434,0.150577778,0.628076442,0.918444319
Dapma7bEVm000436,0.089342244,0.756113326,0.952312776
Dapma7bEVm000437,-0.299298557,0.289368628,0.742820883
Dapma7bEVm000438,0.741859879,0.002298937,0.048068677
Dapma7bEVm000439,0.153355331,0.460605685,0.857697123
Dapma7bEVm000440,0.290841206,0.43685576,0.842048136
Dapma7bEVm000441,0.067580217,0.785750891,0.956341445
Dapma7bEVm000442,0.379756316,0.088718505,0.474839294
Dapma7bEVm000443,-0.222368822,0.246006999,0.704818663
Dapma7bEVm000444,0.018747553,0.945511322,0.991560848
Dapma7bEVm000445,0.242392758,0.541993918,0.892631267
Dapma7bEVm000446,0.358916296,0.084567022,0.466518102
Dapma7bEVm000447,0.140225877,0.550355024,0.896057112
